"user_id","age","sex","ethnicity","lab","country","trait","stim_id","rating"
"1",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","AF-203",7.5
"2",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","AF-204",7
"3",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","AF-205",7
"4",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","AF-209",7
"5",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","AF-211",7.5
"6",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","AF-212",7
"7",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","AF-222",7
"8",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","AF-224",7
"9",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","AF-228",7.5
"10",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","AF-229",7.5
"11",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","AF-230",8
"12",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","AF-245",7.5
"13",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","AF-248",7
"14",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","AF-250",7
"15",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","AF-255",7.5
"16",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","AM-201",7
"17",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","AM-202",7
"18",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","AM-204",7.5
"19",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","AM-205",7.5
"20",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","AM-209",7
"21",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","AM-210",6.5
"22",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","AM-211",7
"23",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","AM-225",7.5
"24",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","AM-229",6.5
"25",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","AM-231",7.5
"26",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","AM-237",7
"27",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","AM-238",7
"28",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","AM-243",7
"29",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","AM-246",7
"30",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","AM-250",7
"31",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","BF-003",7
"32",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","BF-004",7
"33",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","BF-005",7
"34",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","BF-007",6.5
"35",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","BF-008",7
"36",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","BF-018",7
"37",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","BF-020",6.5
"38",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","BF-035",6.5
"39",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","BF-047",7.5
"40",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","BF-201",7
"41",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","BF-210",6.5
"42",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","BF-241",7
"43",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","BF-244",7.5
"44",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","BF-247",7.5
"45",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","BF-250",7
"46",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","BM-002",7
"47",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","BM-017",7
"48",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","BM-027",7.5
"49",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","BM-030",7
"50",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","BM-032",7
"51",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","BM-040",6.5
"52",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","BM-202",7
"53",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","BM-210",7
"54",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","BM-211",7
"55",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","BM-219",5.5
"56",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","BM-226",7
"57",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","BM-227",8
"58",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","BM-238",7.5
"59",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","BM-250",6.5
"60",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","BM-253",6
"61",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","LF-202",6.5
"62",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","LF-206",7
"63",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","LF-208",7.5
"64",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","LF-209",7
"65",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","LF-210",7.5
"66",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","LF-213",7.5
"67",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","LF-216",6.5
"68",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","LF-219",7
"69",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","LF-220",7
"70",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","LF-226",7
"71",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","LF-228",7
"72",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","LF-235",7.5
"73",8906,"25","m","Mestizo","MEX_002","MX","trustworthy","LF-241",7.5
